Title,URL,Content
Chevrons lose t20i series opener in bangladesh,https://www.chronicle.co.zw/chevrons-lose-t20i-series-opener-in-bangladesh/,"ZIMBABWE senior men’s national cricket team got off their tour of Bangladesh to a poor start following an eight wickets defeat in the first T20I of the five-match series at Zahur Ahmed Chowdhury Stadium in Chattorgram on Friday evening. After they were asked to bat first, the Chevrons had a disastrous batting show before Clive Madande and Wellington Masakadza brought back some sanity to see them finish on 124 runs all out in 20 overs. Despite a couple of rain delays, the Tigers managed to comfortably chase down the target in 15,2 overs, finishing on 126/2. The Chevrons had the worst possible start to the match, losing an early wicket of veteran Craig Ervine for a two-ball duck in the third over with the team on 8/1. Debutant, Joylord Gumbie was the next to fall for 17 runs off 14 balls after a 28-run second wicket partnership with Brian Bennett, who was run out two balls later on 16 runs after facing 15 deliveries. After losing the top order for just 36 runs in 5,1 overs, captain Sikandar Raza, Sean Williams and Ryan Burl failed to come to the party, all falling for golden ducks in quick succession. Zimbabwe found themselves in trouble on 38/6 in just 6,2 overs. However, gallant knocks from Madande and Masakadza made sure that the Chevrons breach the 100-run mark. Madande fell one run short of equaling his career best score in T20I as he was bowled on 43 runs from 39 balls while Masakadza made 34 runs off 38 deliveries. Madande, Masakadza, Gumbie and Bennett were the only Zimbabwean batters that managed to cross double figures with the rest failing to score more than three runs. Taskin Ahmed and Mohammad Saifuddin did the damage with the ball for the hosts, taking three wickets apiece for 14 and 15 runs respectively both in four overs. After a disastrous batting display, errors continued into the second innings of the match with the Chevrons being sloppy on the field. They dropped catches while also having misfields in a match that they were defending a below par score. There was a slight rain in the third over of the match’s second innings with Bangladesh on 10/1 after three overs. There was yet a second rain delay with Bangladesh needing 81 runs to win in 76 balls. Play managed to resume and no overs were lost and the Tigers managed to easily cruise to victory. The only two wickets that fell were taken by Blessing Muzarabani and Luke Jongwe.Bangladesh’s debutant, Tanzid Hasan was dropped three times and went on to punish the Chevrons with an unbeaten 67 runs off 47 balls. Towhid Hridoy also finished unbeaten on 33 runs off 18 balls while Najmul Hossain Shanto fell for 21 runs from 24 deliveries. The second match of the series is scheduled for Sunday at the same venue. "
Vice president mohadi arrives for public private sector business interface dinner,https://www.chronicle.co.zw/vice-president-mohadi-arrives-for-public-private-sector-business-interface-dinner/,"Rutendo Nyeve and Nqobile Bhebhe Chronicle Writers VICE President Kembo Mohadi has arrived at the third edition of the Public Private Sector Business Interface dinner that is underway in Bulawayo. The theme of the indaba is ‘Empowering Skills for Progressive Business Growth towards Vision 2030 and NDS1 Success’. The interface seeks to facilitate knowledge and skills exchange between private business entities and the government to support the achievement of Vision 2030. Vice President Mohadi at the dinner Vice President Mohadi was received by the Minister of Industry and Commerce Mangaliso Ndlovu, the Minister of Skills Audit and Development Paul Mavima, Members of the National Assembly and captains of industry. Soon after arrival he was taken to a private briefing. Vice President Mohadi is expected to give the key note address At the event which seeks to cultivate partnership between the Government and private sector to propel economic advancement. The event is hosted by the Vision 2030 movement. The event is oversubscribed with delegates cutting a cross various business sectors of the economy."
President mnangagwa arrives at the zimbabwe military academy,https://www.chronicle.co.zw/president-mnangagwa-arrives-at-the-zimbabwe-military-academy/,"Patrick Chitumba, Online Reporter PRESIDENT Mnangagwa has arrived at the Zimbabwe Military Academy in Gweru to preside over the commissioning parade of the Regular Officer Cadet Course 3/39/22. The President is the Commander In Chief of the Zimbabwe Defence Forces. He was met by Defence Minister Oppah Muchinguri-Kashiri, Midlands Minister of State for Provincial Affairs and Devolution, Owen Ncube and Service Chiefs. A total 182 Regular Officer Cadets will be commissioned at the event after completing 21 months of training at the ZMA Academy in Gweru. Of those to be commissioned, 44 are females, while 138 are males. The Zimbabwe Military Academy has a rich history dating back over a century. Originally, the camp served as both a training ground for various military personnel and a supply depot. Throughout the years, the academy underwent name changes that aligned with camp’s evolving tasks and the political context of each era. In 2010, the Academy achieved associate status with the Midlands State University (MSU), leading to the establishment of the Diploma in Military Training and Education program. The Academy has made significant strides in broadening it’s scope and vision. A crucial milestone was achieved in 2024 when the Cadet Wing transformed into a division, enabling the academy to provide degree programs to cadets. "
Four players to serve one psl game suspension makarati shandirwa injured ahead of gamecocks tie,https://www.chronicle.co.zw/four-players-to-serve-one-psl-game-suspension-makarati-shandirwa-injured-ahead-of-gamecocks-tie/,"Fungai Muderere, Senior Sports Reporter FOUR Castle Lager Premier Soccer League players will not be eligible to do duty for their respective clubs in Match Day 10 fixtures set for tomorrow and Sunday as they have each accumulated three yellow cards. A correspondence dated April 29 from PSL competitions manager Elisha Mandireva that was copied to PSL chief executive officer Kennedy Ndebele, PSL chairman Farai Jere, PSL board of governors, PSL sponsors (Delta Beverages) Zifa chief executive officer Yvonne Mapika Manwa and Zifa referees committee reads: “Please note that the player (s) listed below have each accumulated three (3) yellow cards and will be suspended for one match respectively. The said player (s) participate in their club’s MatchDay ten fixture of the Castle Lager Premier Soccer League scheduled for May 4 and 5 respectively. Where a match has been postponed, the player shall be suspended during the next match.” Dynamos vice-captain Emmanuel Jalai will sit it out when his team takes on Chicken Inn at Barbourfields Stadium on Saturday. The hard running and stocky defender got his first caution on March 16 during their game against Hwange. Jalai was shown his second and third yellow cards during their matches against Yadah Stars and Ngezi Platinum Stars respectively. Also suspended are holding midfielder Tichaona Chipunza (Simba Bhora), Reuben Machaya (Chegutu Pirates) and Blessing Kagudu (Bikita Minerals) as they have also accumulated three yellow cards. Bikita Minerals will tomorrow take on TelOne at Sakubva Stadium while Simba Bhora do battle with Chegutu Pirates at Baobab Stadium. Chicken Inn will be without the services of veteran Danny “Deco” Phiri when they take onDynamos at Barbourfields Stadium on Saturday. Phiri is on a two game suspension following a red card he picked during their previous game against Yadah Stars. Meanwhile, Dynamos head coach Genesis Mangombe revealed that their captain Frank Makarati and Tanaka Shandirwa are also set to miss their potential blockbuster tie against Gamecocks due to injuries. “We have been training well but we have some few injuries.', 'Frank Makarati and Tanaka Shandirwa are out injured. We also miss Jalai due to suspension. It’s a major setback,” said Mangombe. PSL Week 10 Fixtures Saturday Bikita Minerals v TelOne (Sakubva), Ngezi Platinum Stars v Bulawayo Chiefs (Baobab),Chicken Inn v Dynamos (Barbourfields), Herentals v Yadah (Rufaro), Fc Platinum v Greenfuel(Mandava), ZPC Kariba v Manica Diamonds (Nyamhunga). Sunday Chegutu Pirates v Simba Bhora (Baobab), Caps United v Hwange (Rufaro), Arenel Movers v Highlanders (Barbourfields)"
Divine lunga wins another psl title in south africa,https://www.chronicle.co.zw/divine-lunga-wins-another-psl-title-in-south-africa/,"Fungai Muderere, Senior Sports Reporter ZIMBABWE international defender Divine Lunga has clinched his second successive league title in South Africa’s elite football league. The Mpopoma bred footie star was crowned a champion after helping Mamelodi Sundowns to their seventh consecutive league title. Sundowns claimed the championship last night after thumping Kaizer Chiefs 5-1 to attain an unassailable 62 points with six games to spare. Lunga’s first title came in 2022 in his debut season. The 28-year-old defender missed last year’s silverware as he was on loan at Golden Arrows for the whole season before he was brought back for the ongoing campaign. – @FungaiMuderere "
President mnangagwa presides over parade of regular officer cadet course,https://www.chronicle.co.zw/president-mnangagwa-presides-over-parade-of-regular-officer-cadet-course/,"Patrick Chitumba, Online Reporter PRESIDENT Mnangagwa is today expected to preside over the commissioning parade of the Regular Officer Cadet Course 3/39/22 at the Zimbabwe Military Academy (ZMA) in Gweru. The President is the Commander In Chief of the Zimbabwe Defence Forces. A total 182 Regular Officer Cadets will be commissioned at the event after completing 21 months of training at the ZMA Academy in Gweru. Of those to be commissioned, 44 are females, while 138 are males. The Zimbabwe Military Academy has a rich history dating back over a century. Originally, the camp served as both a training ground for various military personnel and a supply depot. Throughout the years, the academy underwent name changes that aligned with camp’s evolving tasks and the political context of each era. In 2010, the Academy achieved associate status with the Midlands State University (MSU), leading to the establishment of the Diploma in Military Training and Education program. The Academy has made significant strides in broadening it’s scope and vision. A crucial milestone was achieved in 2024 when the Cadet Wing transformed into a division, enabling the academy to provide degree programs to cadets."
Vp mohadi to headline business indaba,https://www.chronicle.co.zw/vp-mohadi-to-headline-business-indaba/,"Ashley Phiri, ashleyphiri66@gmail.com Vice President Kembo Mohadi is expected to headline the third edition of the Public Private Sector Business Interface dinner in Bulawayo today. With the theme “Empowering Skills for Progressive Business Growth towards Vision 2030 and NDS1 Success,” the interface seeks to facilitate knowledge and skills exchange between private business entities and the government to support the achievement of Vision 2030. Mr. Paul Matanda, Director of Operations for the Vision 2030 Movement, highlighted that the event will cultivate a partnership between the government and private sector to propel economic advancement “We seek to create a relationship between the business community, public and private sector and the government so that these parties contribute to the success of the Vision 2030 initiated by President Mnangagwa. “ The interface is also to make the business community realise that indeed Zimbabwe is open for business and when they meet they will exchange ideas and share opportunities of how they can tap into the various opportunities availed by the government.” “This event brings together delegates from the public and private sector, captains of industry, members of the civil service, young people from various sectors, business professionals, innovators and entrepreneurs all under one roof to achieve the goal of realizing an upper middle economy by 2030,” he said. Vision 2030 Movement is a lobby group in pursuit of bringing about development towards a prosperous middle income society by 2030 and it was established in 2019."
Vice president mohadi arrives for public private sector business interface dinner,https://www.chronicle.co.zw/vice-president-mohadi-arrives-for-public-private-sector-business-interface-dinner/,"Rutendo Nyeve and Nqobile Bhebhe Chronicle Writers VICE President Kembo Mohadi has arrived at the third edition of the Public Private Sector Business Interface dinner that is underway in Bulawayo. The theme of the indaba is ‘Empowering Skills for Progressive Business Growth towards Vision 2030 and NDS1 Success’. The interface seeks to facilitate knowledge and skills exchange between private business entities and the government to support the achievement of Vision 2030. Vice President Mohadi at the dinner Vice President Mohadi was received by the Minister of Industry and Commerce Mangaliso Ndlovu, the Minister of Skills Audit and Development Paul Mavima, Members of the National Assembly and captains of industry. Soon after arrival he was taken to a private briefing. Vice President Mohadi is expected to give the key note address At the event which seeks to cultivate partnership between the Government and private sector to propel economic advancement. The event is hosted by the Vision 2030 movement. The event is oversubscribed with delegates cutting a cross various business sectors of the economy."
Bindura nickel corporation latest shares halted from trading on vfex,https://www.chronicle.co.zw/bindura-nickel-corporation-latest-shares-halted-from-trading-on-vfex/,"Nqobile Bhebhe, nqobile.bhebhe@chronicle.co.zw Bindura Nickel Corporation (BNC) shares are no longer trading on the Victoria Falls Stock Exchange Limited as of today, a day\xa0 after the company was placed under reconstruction yesterday. The Government Gazette General Notice 523A of 2024, issued on May 2, 2024, announced the reconstruction. In a statement today, VFEX CEO, Mr Justin Bgoni said VFEX has engaged and agreed with Bindura Nickel mine\xa0 that the latter will make an application for voluntary suspension of trading of its securities on VFEX. “The Victoria Falls Stock Exchange Limited (“VFEX”) hereby notifies the investing public that a trading halt has been instituted in the trading of Bindura Nickel Corporation Limited shares on the VFEX with effect from Friday, 03 May 2024,” said Mr Bgoni. “This follows a notice of reconstruction which has been issued in the Government Gazette General Notice 523A of 2024 issued on 2nd of May 2024. “The reconstruction order is in relation to Trojan Nickel Mine Limited which is the major asset owned by Bindura Nickel Corporation Limited.” Following the implementation of the halt, investors will not be able to buy or sell Bindura Nickel Corporation Limited’s shares during the period the halt is in effect. The mining house was listed on VFEX in 2021. It is the first VFEX-listed entity to have its shares halted on the bourse. On Thursday, the nickel company cautioned that ongoing low nickel prices, high input costs—particularly electrical expenses—substantial mining depth, and low resource grade persist in negatively impacting its operations. It noted that despite the completion of the Sub-Vertical Rock (SVR) Project, which caused a temporary shutdown of BNC’s Trojan Nickel Mine (TNM) from September 22, 2023, the company continues to encounter various challenges that are expected to cause delays in the resumption of mining activities at TNM. In the trading update for the quarter ending December 31, 2023, the company emphasized that nickel prices remain subdued in the global markets, reaching economically unsustainable levels for the business. Internationally, nickel prices on the London Metal Exchange witnessed a notable decline, attributed to market surplus conditions resulting from increased production in China and Indonesia coinciding with subdued global demand. However, a reconstruction order was issued yesterday. In issuing the reconstruction order under section 4 of the Reconstruction of State-Indebted Insolvent Companies Act [Chapter 24:27] (No. 27 of 2004), Minister of Justice, Legal and Parliamentary Affairs, Ziyambi Ziyambi, appointed Ms Mutsa Mollie Jean Remba as the administrator. Mr Ian Mtetwa is the assistant."
Finance company opens branch in bulawayo,https://www.chronicle.co.zw/finance-company-opens-branch-in-bulawayo/,"Sikhulekelani Moyo, mskhuekelani16@gmail.com YAMBUKAI Finance has opened a new branch in Bulawayo, which is meant to support the growth of the city’s economy through supporting different sectors including the small and medium enterprises (SMEs) The new branch is the company’s 11th since its establishment in 2000. The company, which has three branches in Harare and others in different towns and cities across the country said the new branch which is in the southern part of the country is meant to service the region after realising that there is a lot of development, which is happening across the region. In an interview during the grand opening of the branch in Bulawayo Yambukai Finance managing director Mr Alex Muzvondiwa said the microfinance company has ridden a lot of storms which include the 2003 and 2008 hyperinflation and the 2019 change of currency. He, however, said in 2021 the company partnered with the LOLC, a largest diversified conglomerate from Sri Lanka which has operations in more than 30 countries in different sectors, which include microfinance, insurance, banking, leisure and in manufacturing. “This Bulawayo branch is the 11th one that we have opened. We have three branches in Harare, one in Chitungwiza, another one in Mutare, Marondera, Masvingo, Gweru, Kwekwe and in Gokwe and plans are still afoot to establish more branches. “Why Bulawayo? As you know Bulawayo is a second largest city so it just makes sense to have representation here and Zimbabwe is made up of two major languages which is Ndebele and Shona so we felt our representation in this region was not strong and we want to be a national institution by covering every part of the country,” said Mr Muzvondiwa. “There are a lot of commercial activities that are happening in Bulawayo including the growing small and medium enterprises (SMEs) so, we would want to provide a helpline in times of need even for those SMEs.” Yambukai Finance offers short and medium term loans which include, salary-based loans, business loans which include order financing, assets-based loans and insurance-based loans among others. Mr Muzvondiwa said their company is also trying to demystify the microfinance sector where he said the company is operating within Government laws and regulations with reasonable interest rates and proper collection processes and adhering to client protection principles. In his presentation during the launch, Bulawayo Chamber of SMEs co-ordinator Mr Nketa Mangoye Dlamini said Bulawayo as a province is trying to develop and grow the SMEs sector, therefore there is need for companies that offer finance services for the micro, small and medium enterprises (MSMEs). “Our belief is that when you come into the finance space, you are going to assist us, the SMEs and other individuals who have large corporates. “We have been crying access to finance but I think the trick is access to reasonable priced finance to say yes there is money but I shouldn’t get it at exorbitant rates because the issue is to get the money, we use it and we develop our companies from micro to small to medium and then to large corporates,” said Mr Dlamini. “That will be better for Bulawayo as an economy. On behalf of all SMEs and other friends, we welcome you to the City of Kings.” — @SikhulekelaniM1"
